"subject"	"LAYING"	"SITTING"	"STANDING"	"WALKING"	"WALKING_DOWNSTAIRS"	"WALKING_UPSTAIRS"	"measure"	"variable"
"14"	14	0.487745943137255	-0.0273878744518519	-0.208326331833333	-0.254157865932203	-0.257372045333333	-0.320862542407407	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"15"	15	0.908366761527778	0.212107793779661	-0.14644883709434	-0.212571447037037	-0.160395521190476	-0.304414649166667	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"16"	16	-0.00284240385714285	-0.0696414142028986	-0.0358320981410256	-0.0471455697058824	-0.0446050604893617	-0.0736149127058823	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"17"	17	0.663243962112676	0.0132818725859375	-0.235584098333333	-0.160556773442623	-0.138569848652174	-0.276910421041667	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"18"	18	0.734530574461538	0.148771789473684	-0.18038896	-0.23108222125	-0.216870759272727	-0.302392529655172	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"19"	19	0.737884808915663	0.372853715342466	-0.202741152054795	-0.2059336225	-0.209476886923077	-0.38059002825	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"20"	20	0.869808478823529	0.087015890380303	-0.287135662328767	-0.32357820627451	-0.278411838222222	-0.467002410588235	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"21"	21	0.613448904111111	0.0409952879376471	-0.321023753258427	-0.350095060576923	-0.3445477	-0.417023695531915	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"22"	22	0.636021498888889	0.216550351274194	-0.205101504444444	-0.240137078913043	-0.210827061666667	-0.321801225	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"23"	23	0.454772302361111	0.134544093922059	-0.0935073621593529	-0.143191885932203	-0.100637004148148	-0.209805287647059	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"24"	24	0.752748021666667	0.196647342205882	-0.125604399231884	-0.0975077869482759	-0.115686297163636	-0.231848318813559	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"25"	25	0.530345044212329	0.218395260646154	-0.136191760081081	-0.109710083513514	-0.0658464188103448	-0.208879805076923	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"26"	26	0.8145301575	0.230171012061282	-0.121181315756757	-0.114548664084746	-0.07233601642	-0.232454362363636	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"27"	27	0.584842286216216	0.2293892866	-0.164856062375	-0.166325727368421	-0.1582456925	-0.216152765490196	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"28"	28	0.15670481375	-0.0918366992222222	-0.227592873037975	-0.210337613148148	-0.222805772608696	-0.322990733333333	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"29"	29	0.820983896956522	0.1696930491	-0.0351720451541538	-0.107157973754717	-0.0756975349375	-0.21873006	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"30"	30	0.745779758857143	0.126814825801613	-0.0837998033389831	-0.137741344723077	-0.123101376322581	-0.223189569692308	"mean"	"TimeGravityAccelerationSignalMagnitudeArea"
"31"	1	0.5848976723	0.682775776170213	0.684994965849057	-0.0212204448494737	-0.0437259707591837	0.143961002516981	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"32"	2	0.683942196458333	0.674028159782609	0.673386829814815	0.051569523229661	-0.15310112323617	0.001831594125	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"33"	3	0.670005695	0.649726825384615	0.644027902131148	0.0224598193775862	0.0835113987346939	0.0365125157364407	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"34"	4	0.666114172962963	0.6554755856	0.641330126607143	0.189391668683333	0.118285946155556	0.0745232387725	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"35"	5	0.676765281730769	0.661301152727273	0.643829860892857	0.0633526584285714	-0.0340034165893617	-0.0147994226212766	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"36"	6	0.659767627017544	0.655879405272727	0.653953063508772	-0.00267426764912281	-0.276804845645833	-0.111621121635294	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"37"	7	0.656384720769231	0.655000882083333	0.660726355660377	0.0478144313157895	0.102738019067872	0.270099990980392	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"38"	8	0.660596667037037	0.677662485434783	0.67100199462963	-0.24669352425	-0.258982906805263	-0.164466618170732	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"39"	9	0.6503681078	0.6321701446	0.659900576222222	0.312681380961538	0.245789670547619	0.314171851020408	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"40"	10	0.664528589310345	0.665760314074074	0.65087373	0.0737292091132075	0.130143913771053	0.190750665034043	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"41"	11	0.677448278596491	0.668913077735849	0.678324933404255	0.166621495220339	-0.0509447470478261	0.13191429467037	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"42"	12	0.666494121166667	0.665309270588235	0.656940828360656	0.1007813440008	-0.0946262088130435	0.124706845394231	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"43"	13	0.67133246483871	0.684534678979592	0.670682884736842	0.0283044635263158	0.0277467959702128	0.0632201915190909	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"44"	14	0.662626291568627	0.664728536851852	0.662973014666667	0.167873069152542	-0.453989801633333	-0.0730600620074074	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"45"	15	0.676438809861111	0.674157565932203	0.661984212830189	-0.12299676909463	-0.228370693071429	0.181145028208333	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"46"	16	0.670238084428571	0.680536293768116	0.677277043717949	0.286795197058824	0.227080906170213	0.257084644588235	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"47"	17	0.674147705070423	0.68488514890625	0.683185309102564	0.133863081045902	0.147106120434783	0.1191550816875	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"48"	18	0.687704605846154	0.687507466140351	0.672035931232877	0.295959501964286	0.195833119527273	0.265991674982759	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"49"	19	0.680070168313253	0.673509718219178	0.669794211232877	0.117843509846154	-0.226763505097436	-0.039655171455	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"50"	20	0.6812424825	0.664201829848485	0.626381412739726	-0.305919615843137	-0.392423286311111	0.115193556117647	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"51"	21	0.669127195555556	0.679006817058823	0.665531454719101	0.102687937661538	-0.143193872735556	-0.0459065723978723	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"52"	22	0.653806080694444	0.669032219354839	0.645950608888889	-0.249025331284783	-0.128967372747222	-0.0819626686904762	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"53"	23	0.680479480138889	0.671219954852941	0.6756333175	-0.0891634993752542	-0.0709365112777778	0.118029858529412	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"54"	24	0.685321470555556	0.678432012352941	0.669040315362319	0.0885501455744828	0.0672663416218182	0.169946673610169	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"55"	25	0.574164786442466	0.676727357076923	0.672360939594595	0.162161556364865	0.122826095515517	0.306235205446154	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"56"	26	0.684564105394737	0.681533206538462	0.671401805675676	0.150795384949153	0.02150285076	0.0899715386363636	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"57"	27	0.685530590675676	0.684785659857143	0.672452673875	0.224033399368421	0.0418871394318182	0.200138406901961	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"58"	28	0.674430740625	0.664375254861111	0.631741844303797	0.0616296568518519	-0.0917020892055652	0.0631261381843137	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"59"	29	0.690440666666667	0.680884674	0.680299602769231	0.047448511354717	0.0266817231291667	0.225192328081633	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"60"	30	0.668577032285714	0.678703138064516	0.639197401186441	0.241928025723077	-0.0260919913483871	0.263152474769231	"mean"	"TimeBodyAccelerationSignalMagnitudeArea"
"61"	1	0.304334772054759	0.122957709197352	0.0829506658453728	0.0296159721706678	0.0322464772657002	0.0275149714247884	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"62"	2	0.0340905437024257	0.0618206742276202	0.0528736846714839	0.00764696146037709	0.0281978835845434	0.0643101183455075	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"63"	3	0.0431907703668245	0.156905568765791	0.0476205630695787	0.00831472262016184	0.0279216382850116	0.0166856660099475	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"64"	4	0.06028563886981	0.233940549150404	0.077266143768301	0.0279138832263561	0.0321729286431703	0.0153689648758043	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"65"	5	0.0187064709233914	0.207734712875662	0.0758821398437369	0.0401961241678534	0.05402731392288	0.0455030585467214	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"66"	6	0.0953529493327587	0.135875617557101	0.0485343436315123	0.0193677290248008	0.0273918259670011	0.0329519875504295	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"67"	7	0.185290527400532	0.0581011461162324	0.0363929362167102	0.0261268265594058	0.0187931374334563	0.0599699876422113	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"68"	8	0.264409713716555	0.138430438067238	0.0609599779518555	0.0563535112847742	0.0382333907721939	0.0322180334532967	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"69"	9	0.299427933279462	0.147341879055702	0.0370217798593462	0.0547797119003234	0.0471910869446846	0.104111463476681	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"70"	10	0.816452923989895	0.421537490001782	0.174465765587934	0.131067859800595	0.112381437792304	0.203947226284728	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"71"	11	0.0107478527352875	0.184188977352221	0.0192320303656182	0.0103758546202383	0.0196801272107675	0.0100704057506017	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"72"	12	0.193236688513256	0.135430694241565	0.0473097334881859	0.0130720782125633	0.026763413092283	0.0261826423886495	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"73"	13	0.250212764188347	0.160705350688849	0.0472009111381867	0.0313684129549978	0.0226489628611181	0.049532245189642	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"74"	14	0.0645043242450658	0.0955534070920091	0.0364695336276006	0.0109133472820114	0.0178356117529796	0.0163266633162775	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"75"	15	0.0219301338409222	0.172064897576932	0.0522959188570976	0.0118010663933775	0.0277140929136579	0.0154939771047962	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"76"	16	0.437392473952154	0.0793513294935242	0.133744012943309	0.152313677020721	0.14470561519588	0.223368170255151	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"77"	17	0.126006670964789	0.0852097727162271	0.0711682066366494	0.107272714007742	0.10093569169141	0.0996665398214449	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"78"	18	0.194448900729164	0.161762881444514	0.0304635733819325	0.0127211634870962	0.0243717972060088	0.01703806560944	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"79"	19	0.0546574351033606	0.148376633713907	0.0532324640543813	0.0364984975149028	0.0273399050305276	0.0327359087481978	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"80"	20	0.0918303836391362	0.131532377838134	0.133142877891248	0.024340214964374	0.0474254598554583	0.0320445578391328	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"81"	21	0.0201606361478531	0.13520596522899	0.0279420518458583	0.0098268025555549	0.0232091173057011	0.0156095701572073	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"82"	22	0.135318718991502	0.133763410838478	0.0297856034445415	0.0242584075233071	0.0308587519706716	0.0221517937112464	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"83"	23	0.0285669646944282	0.0869969008818602	0.0644970027504006	0.0113841384111639	0.0133373493687132	0.0176255058493686	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"84"	24	0.0306487081618307	0.0960122646626727	0.0319107639357374	0.0205109891280813	0.0268418279877184	0.0282259180621703	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"85"	25	0.510327165844237	0.179096169912304	0.0240894066666249	0.0221642427225935	0.0272384460381987	0.0262034866528532	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"86"	26	0.0289142623053651	0.223527911434596	0.0366016186056157	0.0161798613679432	0.0296724981663482	0.0179218130702492	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"87"	27	0.0319209046174082	0.130811884352076	0.0167767541925151	0.0304169731929669	0.0291484981552708	0.0214826612517467	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"88"	28	0.423876429678107	0.160018793845105	0.0148370918804766	0.0133752913896471	0.0155567833232438	0.0116114249199207	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"89"	29	0.030969116702594	0.050395495324719	0.0592093000732246	0.00809086938188043	0.0277379716518838	0.0161144536919646	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"90"	30	0.061145065569251	0.20726890839882	0.0813819829167172	0.0170089600176637	0.0317443982300571	0.0225474788189829	"standard deviation"	"TimeGravityAccelerationSignalMagnitudeArea"
"91"	1	0.273319338280107	0.0167275362355643	0.00923489974985994	0.105105626524684	0.188616919919066	0.0911126549799472	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"92"	2	0.0221049713391523	0.0583135392629081	0.0234767391891439	0.110679491896441	0.162602483830333	0.115032771853178	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"93"	3	0.0370484667805259	0.0819461155352103	0.0439533172424066	0.101026964738253	0.149438108657106	0.136079109442939	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"94"	4	0.0467042449719645	0.0475922907003125	0.0393713394282895	0.0735332260986411	0.208068200905574	0.130870676633813	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"95"	5	0.0258527425323945	0.0398644172429278	0.0406002211965207	0.0904157236450067	0.179605465833253	0.13522741883749	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"96"	6	0.0412472153658231	0.0612110985112958	0.0365958952794521	0.111977628367873	0.213732405299699	0.134771434814149	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"97"	7	0.089255864178255	0.0713997239973864	0.0429977722713731	0.172675104006538	0.161177196601397	0.0858981787162028	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"98"	8	0.0990003835403851	0.0394488087311032	0.0550799722754621	0.0741165726682762	0.298752008212766	0.196267807693412	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"99"	9	0.0514005236419314	0.0989948320956425	0.0629415855718522	0.0911479458214988	0.192759305064788	0.0781763114131805	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"100"	10	0.0783266571903205	0.081282954824476	0.049415948753938	0.215877498804697	0.202356528564707	0.145677221051427	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"101"	11	0.0330081541617472	0.039847670431015	0.0238497896396049	0.0775956307352056	0.179222779695764	0.0832570347941045	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"102"	12	0.0320977847697857	0.0349813024461944	0.0433084019251781	0.0721816388580305	0.314017663994315	0.123875491630007	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"103"	13	0.0385883212145266	0.0127737351149013	0.0344054172704021	0.156957002301859	0.188166531222708	0.14203103044253	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"104"	14	0.0332890374283059	0.0407728180178742	0.0332035935277063	0.0942630043414705	0.263288853261074	0.155551159227636	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"105"	15	0.0263053902085529	0.0227896956603928	0.0304554098452804	0.158587685741206	0.212454969892276	0.0654679348535212	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"106"	16	0.04594076355802	0.0321995891068081	0.0308539797523031	0.0770907730492939	0.124780238112766	0.106993665355635	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"107"	17	0.0313541547842241	0.0213768428586142	0.0150539803891074	0.0722837838274741	0.104477686701873	0.106919760137456	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"108"	18	0.0109998608150241	0.0111407429734496	0.0229277533854148	0.0596651733679302	0.0983176020423941	0.0771633268350651	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"109"	19	0.0150305010866349	0.0384072543023944	0.0270630301756306	0.122696457488356	0.187916228575018	0.180951074184277	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"110"	20	0.0249241129065665	0.0468066774332535	0.0567639704967327	0.274389492093284	0.148517046298622	0.0874179053857274	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"111"	21	0.0494604920597641	0.0360887385136709	0.0366084085192893	0.0727310742256889	0.148124483750111	0.148616985330964	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"112"	22	0.072642850248329	0.0305689633465848	0.0516770868668224	0.144934849744202	0.1396761136803	0.132393279147378	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"113"	23	0.0250843743643671	0.0456983677110272	0.0172342897161774	0.113745117268956	0.168731670864514	0.105209977274916	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"114"	24	0.0122062785603111	0.0228411975430367	0.0283913596637399	0.0802137641394896	0.124528703568575	0.0855919615913037	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"115"	25	0.23931273457189	0.0391016175235952	0.0224702431706482	0.0619004109211931	0.111023322489274	0.0901575412845909	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"116"	26	0.0240013437073236	0.0506234488311589	0.024005082340254	0.087474384590247	0.16497187555076	0.115041589041565	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"117"	27	0.0197885877837034	0.010698100821895	0.037927318034225	0.0554661572078195	0.216081319429529	0.0654712384198687	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"118"	28	0.0247167693799696	0.0341811822000319	0.0683320906431734	0.113081822531296	0.187442241072366	0.0760482181189373	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"119"	29	0.0081012420952735	0.0233854715005976	0.0167417664576257	0.0790804898274663	0.236612756957138	0.0955169864294665	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
"120"	30	0.0358058532909977	0.0235289061748395	0.0488812771728536	0.0598386769281467	0.17949505711653	0.0638407483485375	"standard deviation"	"TimeBodyAccelerationSignalMagnitudeArea"
